iter	Logloss
0	0.6664795328
1	0.6454505722
2	0.6275262451
3	0.6127775501
4	0.6021609389
5	0.5899033652
6	0.5829340365
7	0.5756278091
8	0.5693344953
9	0.5626879738
10	0.55838803
11	0.5526802763
12	0.5478330859
13	0.5435088693
14	0.5402191709
15	0.536261772
16	0.5324925022
17	0.5297404003
18	0.5276302998
19	0.5255191396
20	0.5236781793
21	0.5199232053
22	0.5185724763
23	0.5144064217
24	0.5118410171
25	0.5100732339
26	0.5078478619
27	0.5058039323
28	0.5036197777
29	0.5008779859
30	0.4993987234
31	0.4982799421
32	0.4964191343
33	0.4948980929
34	0.4934843176
35	0.492540573
36	0.4917083289
37	0.4910169997
38	0.4895195059
39	0.4880816779
40	0.4865672786
41	0.4853613646
42	0.4839381832
43	0.4828108074
44	0.4815571842
45	0.4804543619
46	0.4788693617
47	0.4778311282
48	0.4766478127
49	0.4751912522
50	0.4742152973
51	0.4732646693
52	0.4721303882
53	0.4716974504
54	0.4709363798
55	0.470364773
56	0.4694598094
57	0.4680771942
58	0.4674268356
59	0.4663050671
60	0.4654425159
61	0.4642297405
62	0.4636984041
63	0.4631173006
64	0.4622626247
65	0.4616821587
66	0.460947988
67	0.4599401324
68	0.4588339369
69	0.4576475824
70	0.4568336262
71	0.4561671557
72	0.4549445147
73	0.4541502553
74	0.4536256901
75	0.4518293112
76	0.4505135318
77	0.4497235578
78	0.449013262
79	0.4483897903
80	0.4470335327
81	0.4464466099
82	0.4455455107
83	0.4448887306
84	0.4443278109
85	0.4434340445
86	0.4422696409
87	0.4418677048
88	0.4412259124
89	0.4405620991
90	0.4400837272
91	0.439559976
92	0.4383704528
93	0.4375660661
94	0.4370761344
95	0.4358385601
96	0.434985436
97	0.4344963104
98	0.4338247692
99	0.4327551492
100	0.4320197352
101	0.4314789665
102	0.4310215356
103	0.4305087448
104	0.4298159287
105	0.429036683
106	0.4284555276
107	0.4278204668
108	0.427168805
109	0.4261993015
110	0.4253399309
111	0.4247868456
112	0.4243020158
113	0.4233898537
114	0.4223773805
115	0.4211414093
116	0.4205503772
117	0.4198659558
118	0.418722399
119	0.4178316245
120	0.4171562125
121	0.4166843582
122	0.4157262434
123	0.4153411288
124	0.4145129691
125	0.4135904461
126	0.4126936052
127	0.4119831314
128	0.4113615093
129	0.4106599532
130	0.409669553
131	0.4091597629
132	0.4085653907
133	0.4079305191
134	0.4072418232
135	0.4062076392
136	0.4058419409
137	0.40515159
138	0.4043566291
139	0.4039189955
140	0.4032128483
141	0.4025263586
142	0.4020429133
143	0.4013013718
144	0.4005585873
145	0.3999283179
146	0.3991321282
147	0.3983668573
148	0.3975384564
149	0.3969837923
