iter	Passed	Remaining
0	8	1336
1	18	1338
2	23	1159
3	32	1175
4	37	1075
5	45	1082
6	51	1047
7	56	997
8	62	973
9	66	930
10	70	891
11	77	891
12	81	860
13	86	839
14	93	841
15	98	824
16	102	803
17	111	814
18	116	800
19	120	784
20	126	776
21	130	760
22	134	744
23	140	735
24	145	725
25	149	712
26	154	704
27	160	698
28	164	687
29	168	674
30	174	670
31	178	659
32	183	650
33	189	647
34	194	639
35	199	631
36	206	630
37	211	622
38	215	613
39	221	608
40	226	601
41	230	593
42	238	594
43	244	588
44	249	581
45	257	581
46	262	574
47	267	568
48	272	562
49	277	554
50	281	545
51	286	540
52	291	533
53	296	526
54	301	521
55	307	515
56	311	508
57	316	502
58	321	495
59	325	488
60	329	481
61	335	476
62	339	469
63	344	462
64	350	458
65	354	451
66	358	444
67	363	437
68	368	432
69	372	426
70	377	419
71	383	415
72	387	409
73	392	402
74	398	398
75	403	392
76	407	386
77	414	382
78	419	376
79	423	370
80	429	365
81	434	360
82	438	354
83	443	348
84	449	343
85	453	337
86	457	331
87	463	326
88	467	320
89	471	314
90	477	309
91	482	304
92	487	299
93	494	294
94	499	289
95	505	284
96	512	280
97	517	274
98	524	270
99	529	264
100	533	259
101	538	253
102	545	248
103	550	243
104	555	238
105	560	232
106	565	227
107	571	222
108	578	217
109	583	212
110	589	207
111	595	201
112	599	196
113	607	191
114	612	186
115	617	181
116	624	176
117	629	170
118	634	165
119	640	160
120	645	154
121	651	149
122	656	144
123	661	138
124	667	133
125	671	127
126	677	122
127	682	117
128	688	112
129	693	106
130	701	101
131	706	96
132	711	90
133	719	85
134	724	80
135	728	75
136	735	69
137	739	64
138	744	58
139	750	53
140	756	48
141	763	43
142	768	37
143	772	32
144	779	26
145	784	21
146	788	16
147	796	10
148	801	5
149	805	0
